Date,Open ,High,Low,Close,Volume
2020.08.31,116400,117900,113500,114200,43903
2020.09.01,114000,117000,113600,115200,38205
2020.09.02,115400,116400,112900,115600,38808
2020.09.03,116000,116600,114800,115200,18478
2020.09.05,114600,116200,114200,116100,30666
2020.09.06,115800,116600,113400,114100,24329
2020.09.07,113200,113800,108300,108300,50294
2020.09.08,105200,108700,103300,107700,60055
2020.09.09,107900,109800,105200,109100,58195
2020.09.10,109700,111100,106000,106000,36581
2020.09.12,105200,106700,101800,101800,45887
2020.09.13,100300,106400,98900,106200,65037
2020.09.14,106000,106800,101400,101500,50690
2020.09.15,100800,103600,97300,97500,53117
2020.09.16,96700,99300,94800,97900,53143
2020.09.17,98000,99000,95800,96600,26305
2020.09.19,99000,101300,97900,101300,11684
2020.09.20,106300,106300,96400,98000,65054
2020.09.21,97800,101400,94000,94400,67262
2020.09.22,94900,95100,90500,91400,35765
2020.09.23,92000,92600,88900,90500,24639
2020.09.24,90100,92600,89500,91600,20123
2020.09.26,91500,94000,90900,92500,24260
2020.09.27,92800,93100,88200,88200,20517
2020.09.28,84700,85200,83900,83900,12572
2020.09.29,81700,84500,79800,81000,22289
2020.09.30,80500,83100,80000,81400,13039
2020.10.01,83700,86300,81000,86300,12448
2020.10.03,90500,90500,90500,90500,213
2020.10.04,95000,95000,87000,92300,38546
2020.10.05,92800,93300,90800,91500,18515
2020.10.06,91100,95600,90400,94900,18621
2020.10.07,96700,99700,95200,99700,18676
2020.10.10,100000,104100,99200,104100,30924
2020.10.11,104700,108600,104500,108600,22128
2020.10.12,109600,109800,102900,102900,9806
2020.10.13,98100,100000,98100,98100,7216
2020.10.14,95300,98200,93300,93300,15061
2020.10.15,92700,94000,88700,88800,13910
2020.10.18,87900,93900,87000,93600,30401
2020.10.19,92700,92700,88600,88600,15911
2020.10.20,85400,90700,84300,88500,17521
2020.10.21,86000,89400,85100,85600,9638
2020.10.22,84000,85400,82400,83500,4795
2020.10.24,81400,83500,81400,82100,4173
2020.10.26,83100,84200,82100,83500,5297
2020.10.27,82700,82700,79200,79200,4211
2020.10.28,77000,77800,75300,77000,8380
2020.10.29,77000,78800,74500,77500,6439
